Airport Code,Time,Temperature,Dew Point,Humidity,Sea Level Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions,WinDirDegrees,Date
KEWR, 12:51 AM,79,64,60,29.79,10,WSW,5.8,-,N/A,,Clear,250,7/1/12 4:51
KJFK, 12:51 AM,80.1,64,58,29.8,10,West,9.2,-,N/A,,Clear,270,7/1/12 4:51
KLGA, 12:51 AM,82,64,54,29.78,10,West,9.2,-,N/A,,Clear,280,7/1/12 4:51
KNYC, 12:51 AM,79,63,58,29.79,10,West,8.1,-,N/A,,Clear,280,7/1/12 4:51
KEWR, 1:51 AM,73.9,64,71,29.8,10,SW,5.8,-,N/A,,Clear,230,7/1/12 5:51
KJFK, 1:51 AM,75.9,64.9,69,29.8,10,West,6.9,-,N/A,,Clear,260,7/1/12 5:51
KLGA, 1:51 AM,82,64,54,29.78,10,West,10.4,-,N/A,,Clear,280,7/1/12 5:51
KNYC, 1:51 AM,78.1,63,60,29.79,10,West,3.5,-,N/A,,Clear,270,7/1/12 5:51
KEWR, 2:51 AM,77,64,64,29.79,10,WSW,4.6,-,N/A,,Clear,240,7/1/12 6:51
KJFK, 2:51 AM,78.1,64,62,29.79,10,West,8.1,-,N/A,,Clear,270,7/1/12 6:51
KLGA, 2:51 AM,81,63,54,29.78,10,WNW,6.9,-,N/A,,Clear,300,7/1/12 6:51
KNYC, 2:51 AM,77,63,62,29.79,10,Variable,3.5,-,N/A,,Clear,0,7/1/12 6:51
KEWR, 3:51 AM,75,63,66,29.79,10,Calm,Calm,-,N/A,,Clear,0,7/1/12 7:51
KJFK, 3:51 AM,75,66,73,29.81,10,West,4.6,-,N/A,,Clear,270,7/1/12 7:51
KLGA, 3:51 AM,79,63,58,29.79,10,WNW,3.5,-,N/A,,Clear,290,7/1/12 7:51
KNYC, 3:51 AM,77,62.1,60,29.8,10,West,4.6,-,N/A,,Clear,280,7/1/12 7:51
KEWR, 4:51 AM,73.9,63,68,29.8,10,Calm,Calm,-,N/A,,Clear,0,7/1/12 8:51
KJFK, 4:51 AM,72,66,81,29.81,10,SW,4.6,-,N/A,,Partly Cloudy,230,7/1/12 8:51
KLGA, 4:51 AM,78.1,63,60,29.79,10,Calm,Calm,-,N/A,,Scattered Clouds,0,7/1/12 8:51
KNYC, 4:51 AM,77,61,58,29.8,10,West,3.5,-,N/A,,Clear,270,7/1/12 8:51
KEWR, 5:51 AM,73.9,64,71,29.81,10,South,3.5,-,N/A,,Scattered Clouds,190,7/1/12 9:51
KJFK, 5:51 AM,71.1,66.9,87,29.82,10,WSW,5.8,-,N/A,,Scattered Clouds,240,7/1/12 9:51
KLGA, 5:51 AM,78.1,63,60,29.81,10,Calm,Calm,-,N/A,,Partly Cloudy,0,7/1/12 9:51
KNYC, 5:51 AM,75,61,62,29.81,9,Calm,Calm,-,N/A,,Clear,0,7/1/12 9:51
KEWR, 6:51 AM,75,64.9,71,29.83,10,SSW,5.8,-,N/A,,Scattered Clouds,210,7/1/12 10:51
KJFK, 6:51 AM,75,68,79,29.83,9,West,4.6,-,N/A,,Scattered Clouds,260,7/1/12 10:51
KLGA, 6:51 AM,79,63,58,29.82,10,Calm,Calm,-,N/A,,Scattered Clouds,0,7/1/12 10:51
KNYC, 6:51 AM,75.9,62.1,62,29.83,9,Calm,Calm,-,N/A,,Clear,0,7/1/12 10:51
KEWR, 7:51 AM,79,63,58,29.84,10,SW,3.5,-,N/A,,Scattered Clouds,220,7/1/12 11:51
KJFK, 7:51 AM,77,66.9,71,29.85,9,WSW,10.4,-,N/A,,Scattered Clouds,240,7/1/12 11:51
KLGA, 7:51 AM,82,62.1,51,29.83,10,WNW,3.5,-,N/A,,Scattered Clouds,300,7/1/12 11:51
KNYC, 7:51 AM,78.1,62.1,58,29.84,9,WSW,4.6,-,N/A,,Clear,250,7/1/12 11:51
KEWR, 8:51 AM,82,63,52,29.84,10,WSW,9.2,-,N/A,,Partly Cloudy,240,7/1/12 12:51
KJFK, 8:51 AM,80.1,66,62,29.85,10,SW,3.5,-,N/A,,Scattered Clouds,230,7/1/12 12:51
KLGA, 8:51 AM,84.9,63,48,29.83,10,SW,3.5,-,N/A,,Scattered Clouds,220,7/1/12 12:51
KNYC, 8:51 AM,81,63,54,29.84,9,West,5.8,-,N/A,,Clear,260,7/1/12 12:51
KEWR, 9:51 AM,86,64,48,29.84,10,West,9.2,-,N/A,,Clear,260,7/1/12 13:51
KJFK, 9:51 AM,82.9,64,53,29.85,10,WSW,10.4,-,N/A,,Partly Cloudy,240,7/1/12 13:51
KLGA, 9:51 AM,87.1,64,46,29.83,10,WSW,4.6,-,N/A,,Partly Cloudy,240,7/1/12 13:51
KNYC, 9:51 AM,82,64,54,29.83,9,Variable,5.8,-,N/A,,Clear,0,7/1/12 13:51
KEWR, 10:51 AM,90,63,40,29.83,10,SW,16.1,-,N/A,,Clear,230,7/1/12 14:51
KJFK, 10:51 AM,84.9,66,53,29.84,10,SW,10.4,-,N/A,,Clear,230,7/1/12 14:51
KLGA, 10:51 AM,89.1,64,43,29.82,10,West,9.2,-,N/A,,Partly Cloudy,260,7/1/12 14:51
KNYC, 10:51 AM,86,66,51,29.83,9,West,4.6,-,N/A,,Clear,260,7/1/12 14:51
KEWR, 11:51 AM,93,64,38,29.83,10,WSW,17.3,23,N/A,,Clear,250,7/1/12 15:51
KJFK, 11:51 AM,87.1,66,49,29.84,10,SW,12.7,-,N/A,,Clear,220,7/1/12 15:51
KLGA, 11:51 AM,91.9,64,39,29.82,10,WSW,10.4,-,N/A,,Clear,250,7/1/12 15:51
KNYC, 11:51 AM,89.1,64,43,29.83,9,Variable,4.6,-,N/A,,Clear,0,7/1/12 15:51
KEWR, 12:11 PM,91.4,64.4,41,29.82,10,WSW,13.8,20.7,N/A,,Partly Cloudy,240,7/1/12 16:11
KEWR, 12:51 PM,93,64,38,29.82,10,SW,15,-,N/A,,Partly Cloudy,230,7/1/12 16:51
KJFK, 12:51 PM,87.1,69.1,55,29.83,10,South,12.7,-,N/A,,Partly Cloudy,190,7/1/12 16:51
KLGA, 12:51 PM,93.9,64,37,29.81,10,SW,13.8,-,N/A,,Partly Cloudy,220,7/1/12 16:51
KNYC, 12:51 PM,93,64,38,29.82,10,North,-9999,-,N/A,,Clear,0,7/1/12 16:51
KEWR, 1:51 PM,95,63,34,29.8,10,SW,17.3,24.2,N/A,,Partly Cloudy,230,7/1/12 17:51
KJFK, 1:51 PM,88,68,51,29.82,10,South,13.8,-,N/A,,Scattered Clouds,190,7/1/12 17:51
KLGA, 1:51 PM,95,62.1,33,29.79,10,WSW,13.8,19.6,N/A,,Partly Cloudy,250,7/1/12 17:51
KNYC, 1:51 PM,91.9,64,39,29.8,10,Variable,6.9,-,N/A,,Partly Cloudy,0,7/1/12 17:51
KEWR, 2:51 PM,97,62.1,31,29.77,10,WSW,18.4,26.5,N/A,,Partly Cloudy,250,7/1/12 18:51
KJFK, 2:51 PM,90,68,48,29.79,10,South,15,-,N/A,,Scattered Clouds,190,7/1/12 18:51
KLGA, 2:51 PM,96.1,62.1,32,29.77,10,West,13.8,26.5,N/A,,Scattered Clouds,260,7/1/12 18:51
KNYC, 2:51 PM,93,64.9,39,29.77,10,WSW,6.9,-,N/A,,Partly Cloudy,240,7/1/12 18:51
KEWR, 3:00 PM,96.8,62.6,32,29.77,10,West,17.3,-,N/A,,Partly Cloudy,280,7/1/12 19:00
KEWR, 3:51 PM,97,63,32,29.76,10,West,11.5,24.2,N/A,,Scattered Clouds,260,7/1/12 19:51
KJFK, 3:51 PM,84.9,68,57,29.78,10,South,20.7,-,N/A,,Scattered Clouds,190,7/1/12 19:51
KLGA, 3:51 PM,96.1,63,33,29.76,10,West,11.5,23,N/A,,Scattered Clouds,260,7/1/12 19:51
KNYC, 3:51 PM,93,63,37,29.76,10,Variable,5.8,-,N/A,,Partly Cloudy,0,7/1/12 19:51
KEWR, 4:51 PM,96.1,64.9,36,29.76,10,West,17.3,21.9,N/A,,Scattered Clouds,270,7/1/12 20:51
KJFK, 4:51 PM,82.9,69.1,63,29.78,10,South,18.4,-,N/A,,Mostly Cloudy,190,7/1/12 20:51
KLGA, 4:51 PM,96.1,63,33,29.75,10,West,18.4,24.2,N/A,,Scattered Clouds,270,7/1/12 20:51
KNYC, 4:51 PM,91.9,64,39,29.77,9,WNW,6.9,19.6,N/A,,Clear,290,7/1/12 20:51
KLGA, 5:47 PM,89.6,62.6,40,29.75,10,NNW,15,24.2,N/A,,Mostly Cloudy,330,7/1/12 21:47
KEWR, 5:51 PM,96.1,59,29,29.76,10,NW,23,29.9,N/A,,Scattered Clouds,320,7/1/12 21:51
KJFK, 5:51 PM,84,70,63,29.75,10,SSW,10.4,-,N/A,,Mostly Cloudy,210,7/1/12 21:51
KLGA, 5:51 PM,89.1,63,42,29.75,10,NW,16.1,-,N/A,,Mostly Cloudy,320,7/1/12 21:51
KNYC, 5:51 PM,87.1,62.1,43,29.77,10,NW,8.1,20.7,N/A,,Partly Cloudy,320,7/1/12 21:51
KJFK, 6:20 PM,91.4,60.8,36,29.76,10,NNW,19.6,29.9,N/A,,Mostly Cloudy,330,7/1/12 22:20
KEWR, 6:51 PM,89.1,59,36,29.75,10,NW,11.5,17.3,N/A,,Scattered Clouds,310,7/1/12 22:51
KJFK, 6:51 PM,89.1,62.1,40,29.75,10,NW,16.1,23,N/A,,Scattered Clouds,320,7/1/12 22:51
KLGA, 6:51 PM,87.1,63,44,29.75,10,NW,16.1,-,N/A,,Scattered Clouds,310,7/1/12 22:51
KNYC, 6:51 PM,86,62.1,44,29.76,10,WNW,8.1,-,N/A,,Clear,290,7/1/12 22:51
KEWR, 7:51 PM,89.1,60.1,38,29.77,10,NNW,17.3,21.9,N/A,,Scattered Clouds,330,7/1/12 23:51
KJFK, 7:51 PM,89.1,60.1,38,29.77,10,NNW,12.7,-,N/A,,Scattered Clouds,340,7/1/12 23:51
KLGA, 7:51 PM,87.1,63,44,29.76,10,NW,9.2,-,N/A,,Scattered Clouds,320,7/1/12 23:51
KNYC, 7:51 PM,86,62.1,44,29.78,10,Calm,Calm,-,N/A,,Clear,0,7/1/12 23:51
KEWR, 8:51 PM,88,55,32,29.81,10,NW,10.4,18.4,N/A,,Scattered Clouds,320,7/2/12 0:51
KJFK, 8:51 PM,87.1,55.9,35,29.81,10,NNW,11.5,-,N/A,,Scattered Clouds,330,7/2/12 0:51
KLGA, 8:51 PM,84,62.1,47,29.79,10,NW,11.5,-,N/A,,Scattered Clouds,320,7/2/12 0:51
KNYC, 8:51 PM,84.9,55.9,37,29.81,10,Variable,4.6,-,N/A,,Clear,0,7/2/12 0:51
KEWR, 9:51 PM,87.1,52,30,29.84,10,NW,10.4,-,N/A,,Scattered Clouds,310,7/2/12 1:51
KJFK, 9:51 PM,86,55.9,36,29.84,10,NNW,9.2,-,N/A,,Scattered Clouds,340,7/2/12 1:51
KLGA, 9:51 PM,82,62.1,51,29.83,10,NW,8.1,-,N/A,,Scattered Clouds,320,7/2/12 1:51
KNYC, 9:51 PM,82.9,55.9,39,29.85,10,WNW,5.8,-,N/A,,Clear,300,7/2/12 1:51
KEWR, 10:51 PM,84,51.1,32,29.86,10,NW,8.1,-,N/A,,Scattered Clouds,320,7/2/12 2:51
KJFK, 10:51 PM,82.9,55.9,39,29.85,10,NNW,6.9,-,N/A,,Scattered Clouds,340,7/2/12 2:51
KLGA, 10:51 PM,82,60.1,47,29.85,10,NW,11.5,-,N/A,,Scattered Clouds,320,7/2/12 2:51
KNYC, 10:51 PM,82,55,39,29.86,10,Variable,4.6,-,N/A,,Clear,0,7/2/12 2:51
KEWR, 11:51 PM,82.9,51.1,33,29.85,10,NNW,9.2,-,N/A,,Scattered Clouds,330,7/2/12 3:51
KJFK, 11:51 PM,82.9,54,37,29.86,10,North,11.5,-,N/A,,Scattered Clouds,350,7/2/12 3:51
KLGA, 11:51 PM,82,55.9,41,29.85,10,NNW,9.2,-,N/A,,Scattered Clouds,340,7/2/12 3:51
KNYC, 11:51 PM,80.1,54,40,29.86,10,Variable,3.5,-,N/A,,Clear,0,7/2/12 3:51
KEWR, 12:51 AM,81,48.9,33,29.85,10,NNW,6.9,-,N/A,,Scattered Clouds,330,7/2/12 4:51
KJFK, 12:51 AM,81,51.1,35,29.86,10,North,9.2,-,N/A,,Scattered Clouds,360,7/2/12 4:51
KLGA, 12:51 AM,81,54,39,29.84,10,NNW,9.2,-,N/A,,Scattered Clouds,330,7/2/12 4:51
